数据库：主要城市年度数据
指标：住宅商品房平均销售价格(元/平方米)
时间：最近20年
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京,47784.00,46941.00,42684.00,38433.00,37420.19,34117.00,28489.00,22300.00,18499.00,17854.00,16553.48,15517.90,17151.00,13224.00,11648.00,10661.24,7375.41,6162.13,4747.14,4456.00
天津,15874.00,16370.00,16391.00,15423.00,15924.26,15139.00,12870.00,9931.00,8828.00,8390.00,8009.58,8547.64,7940.00,6605.00,5598.00,5575.72,4649.25,3987.22,2950.34,2393.00
石家庄,10126.00,10517.00,9893.00,9234.00,10398.93,9738.00,7354.00,7798.00,5562.00,4943.00,4713.54,4352.15,3807.00,3688.00,2630.00,2378.11,2005.13,1705.23,1533.78,1570.00
太原,9848.00,10395.00,10815.00,11136.00,10840.49,8827.00,7348.00,7303.00,7155.00,6668.00,6404.74,6517.47,7088.00,4499.00,3743.00,3560.54,3156.26,2902.66,2332.60,2204.00
呼和浩特,11100.00,11314.00,11066.00,10029.00,8251.24,5662.00,5196.00,4946.00,5153.00,4631.00,4798.17,4073.32,3650.00,3248.00,2511.00,2458.82,2175.71,1540.78,1430.16,1277.00
沈阳,11005.00,11997.00,11617.00,10251.00,8680.11,7944.00,6838.00,6416.00,5865.00,6074.00,5989.45,5612.96,5109.00,4196.00,3856.00,3535.75,3184.00,3026.64,2851.72,2753.00
大连,12771.00,14080.00,13501.00,12041.00,11432.55,10019.00,9119.00,8711.00,8921.00,7859.00,7583.97,7928.98,6759.00,6175.00,5617.00,5417.28,4256.42,3579.86,2972.74,2699.00
长春,8799.00,8506.00,9128.00,8731.00,8091.85,6811.00,6018.00,6374.00,5847.00,5729.00,5273.35,5969.66,5097.00,4012.00,3344.00,3118.30,2408.03,2271.70,2118.97,1973.00
哈尔滨,8327.00,8778.00,9460.00,9780.00,8931.92,7861.00,6338.00,6124.00,5751.00,5884.00,5112.85,5216.66,5196.00,4146.00,3515.00,2942.74,2502.86,2384.04,2215.19,2183.00
上海,44430.00,40974.00,36741.00,32926.00,28981.11,24866.00,25910.00,21501.00,16415.00,16192.00,13869.88,13565.83,14290.00,12364.00,8115.00,8253.00,7039.00,6698.00,5761.21,4989.00
南京,27826.00,27938.00,25175.00,19428.00,19708.33,15259.00,17884.00,11260.00,10964.00,11078.00,9674.84,8414.62,9227.00,6893.00,4808.00,5010.94,4270.36,3849.54,3097.86,2888.00
杭州,33669.00,29781.00,27448.00,26522.00,24360.20,21225.00,16211.00,14748.00,14035.00,14679.00,13291.65,12748.62,14259.00,10613.00,8211.00,7431.76,5967.44,5453.81,3883.79,3657.00
宁波,19136.00,21152.00,17657.00,15956.00,16201.58,14145.00,11738.00,11022.00,10890.00,11405.00,11385.25,11285.64,11669.00,9068.00,6843.00,6097.17,5105.08,4516.55,3025.88,2541.00
合肥,13476.00,14443.00,15265.00,14086.00,13068.63,11442.00,9312.00,7512.00,6917.00,6084.00,5754.31,5607.55,5502.00,4095.00,3425.00,3153.80,2873.78,2799.45,2270.55,1889.00
福州,13761.00,15286.00,14376.00,14186.00,14381.26,10547.00,11058.00,11333.00,10105.00,10155.00,10644.52,9553.18,7877.00,6441.00,5244.00,4899.65,3976.27,2981.13,2463.46,2178.00
厦门,27523.00,31425.00,33779.00,33830.00,33715.43,28053.00,25251.00,18928.00,17778.00,14551.00,12953.38,13422.59,11590.00,8935.00,8940.00,8907.02,6600.73,4744.01,3768.46,3077.00
南昌,10824.00,10576.00,10866.00,9355.00,8275.87,8106.00,7707.00,6955.00,6225.00,6639.00,5879.99,5322.66,4331.00,3637.00,3361.00,3508.70,3053.13,2518.52,2428.71,2079.00
济南,13469.00,13241.00,12282.00,11947.00,12161.45,9712.00,8405.00,7527.00,7158.00,7013.00,6650.56,6663.89,6100.00,4790.00,4155.00,3719.62,3318.90,2992.83,2830.77,2307.00
青岛,14440.00,14365.00,14058.00,13674.00,12373.44,10052.00,8997.00,8437.00,7855.00,7987.00,7583.36,7166.19,6421.00,5383.00,4788.00,5104.94,4000.92,3593.70,2747.48,2297.00
郑州,8048.00,9665.00,9845.00,9332.00,8155.94,8323.00,8093.00,7223.00,6579.00,6587.00,5643.07,4692.29,4596.00,4057.00,3598.00,3328.18,2690.69,2386.52,2004.30,1955.00
武汉,14776.00,15504.00,14672.00,13834.00,12678.48,11453.00,9819.00,8404.00,7399.00,7238.00,6895.35,6675.99,5550.00,5199.00,4681.00,4515.76,3535.26,2986.20,2462.73,2023.00
长沙,10703.00,10119.00,9112.00,8227.00,7796.20,7287.00,6160.00,5544.00,5458.00,5759.00,5602.51,5481.49,4322.00,3533.00,3165.00,3191.02,2430.68,2088.78,1774.95,1786.00
广州,29455.00,30580.00,27112.00,24015.00,21581.78,17685.00,16346.00,14083.00,14739.00,13954.00,12000.88,10925.84,10615.00,8988.00,8781.00,8439.06,6152.17,5041.21,4355.94,3999.00
深圳,55758.00,61601.00,56844.00,55769.00,55441.01,48622.00,45498.00,33661.00,24040.00,23427.00,18995.92,21037.05,18954.00,14389.00,12823.00,13369.63,8848.04,6996.28,6385.04,5793.00
南宁,8927.00,8960.00,9200.00,8574.00,7697.27,7700.00,6767.00,6229.00,6103.00,6155.00,5618.65,4995.89,4942.00,4463.00,3726.00,3273.38,2656.11,2387.66,2481.69,2169.00
海口,16594.00,16400.00,16494.00,15562.00,12644.47,11694.00,8868.00,7636.00,7473.00,7342.00,6512.03,6641.27,8069.00,5293.00,4435.00,3402.64,2673.28,2528.81,2215.06,1989.00
重庆,8526.00,9678.00,8917.00,8657.00,8189.98,6605.00,5162.00,5012.00,5094.00,5239.00,4804.80,4492.30,4040.00,3266.00,2640.00,2588.22,2081.31,1900.66,1572.56,1324.00
成都,16811.00,14713.00,13231.00,11729.00,9783.16,8595.00,7377.00,6584.00,6536.00,6708.00,6678.46,6360.89,5827.00,4864.00,4778.00,4198.28,3498.95,2870.44,2223.96,1908.00
贵阳,9271.00,9015.00,9157.00,9799.00,8842.96,6552.00,5392.00,4967.00,4904.00,4488.00,4472.69,4587.98,4233.00,3496.00,2866.00,2619.41,2137.57,1801.15,1643.08,1735.00
