数据库：主要城市年度数据
指标：住宅商品房销售面积(万平方米)
时间：最近20年
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京,741.93,877.10,733.59,789.02,526.76,608.78,981.37,1126.84,1136.53,1363.67,1483.37,1034.96,1201.39,1880.45,1031.43,1731.48,2205.03,2823.65,2285.82,1771.10
天津,895.54,1333.97,1220.74,1382.63,1140.73,1342.87,2521.87,1674.78,1483.64,1720.34,1511.40,1365.71,1302.61,1461.47,1135.35,1401.85,1332.49,1264.38,796.09,720.60
石家庄,567.91,677.52,618.00,673.94,723.90,816.94,652.52,539.68,725.68,782.73,697.08,783.20,446.43,329.14,326.40,381.56,287.96,211.66,119.25,114.60
太原,468.74,728.26,701.24,645.48,771.21,722.10,556.44,421.65,394.09,401.15,308.13,191.89,235.49,168.83,162.11,149.03,124.84,183.38,109.36,57.70
呼和浩特,137.31,264.05,382.27,296.28,342.43,249.97,344.80,321.44,306.92,339.96,414.31,408.39,394.75,312.60,308.14,213.33,193.85,194.75,138.70,113.00
沈阳,594.85,985.08,1285.50,1361.13,1202.67,1191.25,1099.39,949.88,1342.38,2017.37,2201.45,1947.78,1516.06,1369.31,1307.18,1358.11,1150.65,931.18,489.01,291.60
大连,386.99,627.24,629.08,602.74,702.09,758.17,654.62,596.67,670.73,1104.02,966.89,833.42,1126.68,1093.41,770.84,783.91,570.21,552.47,445.41,446.70
长春,470.31,930.21,936.39,1156.13,1116.08,951.83,834.49,701.78,663.35,762.50,775.19,785.94,786.19,653.91,516.65,472.99,369.97,311.75,174.92,167.20
哈尔滨,359.21,517.07,679.32,824.78,920.00,1089.16,908.16,807.23,919.81,1227.00,1031.61,920.02,809.91,627.82,504.56,667.81,575.23,476.58,350.24,325.50
上海,1561.51,1489.95,1434.07,1353.70,1333.29,1341.62,2019.80,2009.17,1780.91,2015.81,1592.63,1500.00,1690.82,2928.04,2007.48,3279.17,2615.49,2845.70,3059.53,2224.50
南京,791.96,1371.39,1213.81,1137.19,982.65,1208.98,1406.29,1429.18,1124.73,1143.15,876.25,680.89,754.82,1114.03,659.12,1064.52,940.99,895.34,542.52,400.20
杭州,1168.22,1954.30,1471.62,1284.27,1329.40,1520.17,1888.28,1292.35,952.51,968.78,920.26,600.20,797.59,1314.38,676.99,1043.67,679.96,620.66,509.49,471.10
宁波,835.15,1280.80,1571.44,1438.89,1299.17,1283.72,1126.06,846.92,595.20,581.95,458.74,342.65,497.81,651.97,357.08,657.95,512.63,389.11,426.78,463.30
合肥,1237.83,1562.76,1297.40,1155.72,1103.88,960.46,1705.72,1285.90,1326.22,1451.69,1117.33,1058.40,863.65,1180.33,867.35,953.10,583.26,537.40,308.70,248.20
福州,980.08,1686.26,1519.17,1330.07,1255.68,1276.80,1021.23,748.99,816.65,1105.48,733.96,532.00,531.10,648.28,341.44,592.53,621.42,796.31,395.02,410.60
厦门,394.95,413.24,379.13,274.70,170.68,237.28,322.34,345.89,510.37,581.52,480.27,272.13,238.68,401.30,150.21,369.56,317.39,272.32,255.05,245.60
南昌,1056.88,1562.29,1367.24,1580.89,1536.52,1289.79,1077.82,815.99,751.48,751.87,595.33,436.01,489.30,463.63,326.46,460.34,359.99,359.91,190.61,109.40
济南,907.09,1300.20,1145.24,934.00,965.29,974.72,1232.72,924.43,723.92,705.31,559.92,538.90,477.31,404.31,330.04,290.79,256.84,241.61,234.83,241.30
青岛,1264.08,1419.63,1430.37,1475.58,1578.31,1633.84,1752.08,1238.99,1022.28,1050.61,842.50,919.49,1209.87,1151.15,686.22,769.73,645.02,825.82,446.48,407.90
郑州,1865.24,2480.01,3025.68,3241.97,3330.57,2735.37,2571.44,1695.21,1293.28,1313.48,1226.18,1306.38,1428.61,1083.33,658.49,1005.20,753.93,556.42,299.88,256.90
武汉,1742.42,2470.53,2252.39,2981.79,3229.75,3085.78,2931.06,2413.77,1978.96,1750.43,1390.47,1182.21,1095.22,1041.39,683.24,1069.89,908.92,834.18,613.91,512.10
长沙,1472.97,2304.86,2046.55,2005.91,1973.34,1823.81,2308.24,1687.06,1331.36,1659.53,1385.33,1394.18,1624.04,1357.95,802.27,928.51,693.91,610.77,408.17,291.20
广州,1026.53,1371.01,1223.21,1106.58,1138.20,1367.48,1624.01,1344.86,1196.23,1398.47,1128.51,991.67,1111.66,1253.60,879.48,1158.63,1156.33,1131.24,805.19,755.20
深圳,489.98,623.30,752.27,638.42,572.99,520.97,660.08,747.83,474.81,527.16,488.44,469.43,413.80,717.39,413.65,500.35,686.18,1019.81,343.02,358.10
南宁,678.52,1125.51,1486.19,1550.33,1438.25,1307.68,1150.15,878.87,720.95,633.14,575.52,612.24,604.75,685.08,454.66,585.47,419.79,419.99,308.99,169.30
海口,205.67,349.09,371.52,373.49,331.44,487.37,394.33,330.28,297.58,319.04,251.49,193.16,199.70,183.39,168.42,162.39,133.48,179.09,100.72,92.10
重庆,2723.02,4945.42,4814.49,5149.08,5424.76,5452.65,5105.46,4477.71,4423.68,4359.19,4105.11,4063.42,3986.31,3771.22,2669.93,3310.13,2011.70,1792.41,1138.26,1133.00
成都,1885.61,2614.48,2826.74,2564.86,2660.02,2976.47,3279.17,2447.13,2476.25,2555.81,2424.61,2284.91,2289.92,2547.59,1357.43,2084.80,1482.18,1109.86,684.17,897.30
贵阳,695.63,1185.52,1105.76,869.40,943.29,868.98,826.21,789.79,789.95,1145.71,948.47,714.65,733.55,760.45,389.54,408.29,355.62,332.33,203.31,212.10
昆明,603.10,965.17,1527.10,1484.84,1430.17,1387.77,1128.89,1008.25,978.23,1041.35,917.73,934.89,1095.95,782.54,521.45,862.27,841.67,734.29,237.50,298.40
拉萨,,,,,,,,,,,,,,,,,,,,
西安,1114.77,1238.56,1635.78,1903.90,2141.12,2105.94,1866.50,1583.53,1514.15,1496.34,1379.13,1663.97,1523.24,1202.12,722.27,782.91,584.06,435.46,188.56,230.30
兰州,259.16,761.54,796.79,673.48,565.93,609.40,713.92,578.62,439.43,237.35,176.75,118.13,206.81,224.68,134.05,255.28,195.18,203.46,128.98,81.00
西宁,80.26,176.85,259.05,259.58,274.02,305.11,292.11,260.65,264.38,272.04,165.85,255.05,206.78,148.08,103.64,133.05,98.44,99.46,63.69,50.70
银川,365.17,528.20,674.20,606.16,529.20,519.99,492.84,454.46,614.01,543.09,388.33,384.02,497.98,442.97,269.39,294.20,212.23,222.35,183.09,135.90
乌鲁木齐,421.07,703.06,636.84,566.85,509.28,525.97,519.66,465.41,401.75,488.54,337.30,421.51,405.30,505.57,265.06,468.08,381.90,225.06,222.50,271.40
数据来源：国家统计局
