数据库：主要城市年度数据
指标：地区生产总值（当年价格）(亿元)
时间：最近20年
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京,41610.90,41045.63,35943.25,35445.13,33106.00,29883.00,27041.20,24779.10,22926.00,21134.60,19024.70,17188.80,14964.00,12900.90,11813.10,10425.50,8387.00,7149.80,6252.50,5267.20
天津,16311.30,15685.05,14007.99,14055.46,13362.90,12450.60,11477.20,10879.50,10640.60,9945.40,9043.00,8112.50,6830.80,5709.60,5182.40,4158.40,3538.20,3158.60,2621.10,2257.80
石家庄,7100.64,6490.30,5935.00,5810.00,6082.62,6460.88,5927.73,5440.60,5170.27,4863.66,4500.20,4082.68,3401.00,3001.00,2838.37,2360.72,2026.63,1786.78,1554.90,1377.94
太原,5571.17,5121.61,4153.00,4029.00,3884.48,3382.18,2955.60,2735.34,2531.09,2412.87,2311.40,2080.12,1778.10,1545.00,1468.09,1254.94,1013.65,893.16,640.50,515.71
呼和浩特,3329.10,3121.43,2801.00,2791.00,2903.50,2743.72,3173.59,3090.52,2894.05,2710.39,2475.60,2177.27,1865.70,1644.00,1316.37,1101.13,900.08,743.66,512.10,406.20
沈阳,7695.80,7249.00,6572.00,6470.00,6292.40,5864.97,5546.45,7272.31,7098.71,7158.57,6602.60,5915.71,5017.50,4269.00,3860.47,3221.15,2519.63,2084.13,1900.69,1603.38
大连,8430.95,7825.95,7030.00,7002.00,7668.48,7363.92,6810.20,7731.64,7655.58,7650.79,7002.80,6150.63,5158.20,4350.00,3858.25,3130.68,2569.67,2152.23,1961.76,1632.59
长春,6744.56,7103.10,6638.00,5904.00,7175.71,6530.03,5986.42,5530.03,5342.43,5003.18,4456.60,4003.08,3329.00,2849.00,2561.90,2089.09,1741.19,1678.47,1535.01,1338.04
哈尔滨,5490.10,5351.66,5184.00,5249.00,6300.48,6355.05,6101.61,5751.21,5340.07,5017.05,4550.20,4242.19,3664.90,3175.00,2868.19,2436.80,2094.08,1830.45,1680.46,1414.80
上海,44652.80,43653.17,38963.30,37987.55,36011.80,32925.00,29887.00,26887.00,25269.80,23204.10,21305.60,20009.70,17915.40,15742.40,14536.90,12878.70,10598.90,9197.10,8101.60,6804.00
