数据库：主要城市年度数据
指标：国内生产总值(亿元)
时间：1980-2021
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年
北京,36102.55,35445.10,33106.00,29883.00,27041.20,24779.10,22926.00,21134.60,19024.70,17188.80,14964.00,12900.90,11813.10,10425.50,8387.00,7149.80,6252.50,5267.20,4525.70,3861.50,3277.80,2759.80,2439.10,2118.10,1819.40,1516.20,1149.80,888.90,710.20,598.89,500.82,455.96,410.22,326.82,284.86,257.12,216.61,183.13,154.94,139.15,139.07
天津,14083.73,14055.50,13362.90,12450.60,11477.20,10879.50,10640.60,9945.40,9043.00,8112.50,6830.80,5709.60,5182.40,4158.40,3538.20,3158.60,2621.10,2257.80,1926.90,1756.90,1591.70,1435.60,1344.70,1264.60,1121.90,932.00,732.90,538.90,411.00,342.65,310.95,283.49,259.71,220.12,194.74,175.78,147.53,123.42,114.11,107.96,103.53
石家庄,,5810.00,6082.62,6460.88,5927.73,5440.60,5170.27,4863.66,4500.20,4082.68,3401.00,3001.00,2838.37,2360.72,2026.63,1786.78,1554.90,1377.94,1186.81,1085.43,,,,,,,,,113.79,,,,,,,,,,,,
太原,,4029.00,3884.48,3382.18,2955.60,2735.34,2531.09,2412.87,2311.40,2080.12,1778.10,1545.00,1468.09,1254.94,1013.65,893.16,640.50,515.71,432.89,386.34,,,,,,,,,117.03,,,,,,,,,,,,
呼和浩特,,2791.00,2903.50,2743.72,3173.59,3090.52,2894.05,2710.39,2475.60,2177.27,1865.70,1644.00,1316.37,1101.13,900.08,743.66,512.10,406.20,316.70,211.12,,,,,,,,,39.83,,,,,,,,,,,,
沈阳,,6470.00,6292.40,5864.97,5546.45,7272.31,7098.71,7158.57,6602.60,5915.71,5017.50,4269.00,3860.47,3221.15,2519.63,2084.13,1900.69,1603.38,1400.02,1236.47,,,,,,,,,272.96,,,,,,,,,,,,
大连,,7002.00,7668.48,7363.92,6810.20,7731.64,7655.58,7650.79,7002.80,6150.63,5158.20,4350.00,3858.25,3130.68,2569.67,2152.23,1961.76,1632.59,1406.10,1235.64,,,,,,,,,244.64,,,,,,,,,,,,
长春,,5904.00,7175.71,6530.03,5986.42,5530.03,5342.43,5003.18,4456.60,4003.08,3329.00,2849.00,2561.90,2089.09,1741.19,1678.47,1535.01,1338.04,1150.18,1003.01,,,,,,,,,155.28,,,,,,,,,,,,
哈尔滨,,5249.00,6300.48,6355.05,6101.61,5751.21,5340.07,5017.05,4550.20,4242.19,3664.90,3175.00,2868.19,2436.80,2094.08,1830.45,1680.46,1414.80,1232.13,1120.12,,,,,,,,,169.26,,,,,,,,,,,,
上海,38700.58,37987.60,36011.80,32925.00,29887.00,26887.00,25269.80,23204.10,21305.60,20009.70,17915.40,15742.40,14536.90,12878.70,10598.90,9197.10,8101.60,6804.00,5795.00,5257.70,4812.20,4222.30,3831.00,3465.30,2980.80,2518.10,1990.90,1519.20,1114.30,893.77,781.66,696.54,648.30,545.46,490.83,466.75,390.85,351.81,337.07,324.76,311.89
南京,,14031.00,12820.40,11715.10,10503.02,9720.77,8820.75,8011.78,7201.60,6145.52,5130.70,4230.00,3775.00,3283.73,2773.78,2411.11,1910.00,1576.33,1297.57,1150.30,,,,,,,,,246.88,,,,,,,,,,,,
杭州,,15373.00,13509.15,12603.36,11313.72,10050.21,9206.16,8343.52,7802.00,7019.06,5949.20,5088.00,4781.16,4100.17,3441.51,2942.65,2515.00,2099.77,1781.83,1568.01,,,,,,,,,267.85,,,,,,,,,,,,
