数据库：主要城市年度数据
指标：医院数(个)
时间：1980-2021
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年
北京,,,648,656,713,701,672,647,608,569,550,638,660,686,705,668,657,645,652,673,674,686,676,673,645,871,871,732,725,713,699,656,624,574,545,564,686,675,677,667,657
天津,,,420,426,571,661,631,482,465,461,438,437,428,411,401,462,474,485,483,495,488,487,478,483,476,416,419,304,301,300,293,291,285,282,282,285,353,344,337,332,332
石家庄,,,256,235,425,393,386,394,395,395,396,397,383,394,359,,,,,,,,,,,,,,,,,,,,,,,,,,
太原,,,163,175,245,247,240,244,253,249,258,258,268,273,267,,,,,,,,,,,,,,,,,,,,,,,,,,
呼和浩特,,,108,108,185,174,161,155,146,142,143,144,144,146,143,,,,,,,,,,,,,,,,,,,,,,,,,,
沈阳,,,274,274,383,327,340,314,304,298,299,301,305,314,332,,,,,,,,,,,,,,,,,,,,,,,,,,
大连,,,178,153,315,304,295,216,217,216,216,225,228,236,238,,,,,,,,,,,,,,,,,,,,,,,,,,
长春,,,186,162,297,301,301,299,302,306,310,309,313,320,320,,,,,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,,,326,310,471,462,456,446,439,433,448,457,461,472,472,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,,,358,363,656,644,637,629,619,609,602,936,567,534,309,347,361,345,334,432,459,465,473,474,477,498,510,504,485,500,502,501,490,486,466,455,483,482,478,473,461
南京,,,222,220,225,213,207,208,202,192,179,208,209,167,197,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州,,,316,302,365,333,307,301,298,286,293,324,310,1162,1051,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波,,,170,154,251,243,233,219,204,185,207,250,234,266,268,,,,,,,,,,,,,,,,,,,,,,,,,,
合肥,,,171,172,462,470,481,481,476,493,393,223,226,225,226,,,,,,,,,,,,,,,,,,,,,,,,,,
福州,,,128,116,230,232,230,230,226,222,218,216,207,221,225,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门,,,54,51,60,58,56,53,51,51,49,49,51,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,
南昌,,,122,118,194,195,198,181,179,180,186,186,173,166,182,,,,,,,,,,,,,,,,,,,,,,,,,,
济南,,,246,238,270,269,265,255,243,262,277,281,286,243,240,,,,,,,,,,,,,,,,,,,,,,,,,,
青岛,,,421,410,322,308,297,285,288,280,254,252,249,251,232,,,,,,,,,,,,,,,,,,,,,,,,,,
郑州,,,246,219,317,312,313,317,279,265,271,270,271,307,268,,,,,,,,,,,,,,,,,,,,,,,,,,
武汉,,,398,354,386,372,266,242,238,233,232,227,232,227,221,,,,,,,,,,,,,,,,,,,,,,,,,,
长沙,,,232,188,286,284,276,279,254,255,255,265,252,265,252,,,,,,,,,,,,,,,,,,,,,,,,,,
广州,,,255,243,273,259,255,253,,256,255,253,251,265,264,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳,,,140,135,136,125,124,119,117,110,107,101,100,101,99,,,,,,,,,,,,,,,,,,,,,,,,,,
南宁,,,120,115,228,225,211,205,200,201,198,202,201,201,204,,,,,,,,,,,,,,,,,,,,,,,,,,
海口,,,47,123,139,133,105,65,68,65,73,73,73,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,,,800,749,1606,1568,1510,1502,1405,1407,1449,1404,1396,1447,1449,1460,1574,1681,1708,2020,2250,2351,2438,2553,2567,,,,,,,,,,,,,,,,
成都,,,892,888,866,768,746,724,685,659,594,562,558,595,633,,,,,,,,,,,,,,,,,,,,,,,,,,
贵阳,,,192,185,258,260,249,243,226,222,222,219,228,268,183,,,,,,,,,,,,,,,,,,,,,,,,,,
昆明,,,322,308,414,392,380,365,236,347,321,314,305,324,332,,,,,,,,,,,,,,,,,,,,,,,,,,
拉萨,,,29,28,80,78,67,274,65,422,,315,208,462,,,,,,,,,,,,,,,,,,,,,,,,,,,
西安,,,343,329,392,395,381,381,376,368,412,415,432,459,480,,,,,,,,,,,,,,,,,,,,,,,,,,
兰州,,,125,127,172,164,167,165,175,161,163,159,211,236,220,,,,,,,,,,,,,,,,,,,,,,,,,,
西宁,,,78,73,127,123,114,109,108,107,105,105,454,108,105,,,,,,,,,,,,,,,,,,,,,,,,,,
银川,,,86,70,104,92,92,92,91,99,99,101,595,590,680,,,,,,,,,,,,,,,,,,,,,,,,,,
乌鲁木齐,,,130,127,152,175,173,167,171,171,167,166,170,170,166,,,,,,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局
