数据库：主要城市年度数据
指标：在岗职工平均工资(元)
时间：1980-2021
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年
北京,,173205,149843,134994,122749,113073,103400,93997,85306,75835,65683,58140,56328,46507,40117,34191,29674,25312,21852,19155,16350,14054,12451,,,,,,,,,,,,,,,,,,
天津,,111602,103931,96965,87806,81486,73839,68864,65398,55636,52963,44992,41748,34938,28682,25271,21754,18648,16258,14308,12480,11056,9946,,,,,,,,,,,,,,,,,,
石家庄,,79581,75114,67880,61189,54441,48272,43712,38426,35132,31459,27370,22746,19992,16911,,,,,,,,,,,,,,,,,,,,,,,,,,
太原,,82860,80825,72114,64820,60516,57771,51161,48905,44868,38839,33140,29589,24688,21422,,,,,,,,,,,,,,,,,,,,,,,,,,
呼和浩特,,84105,71387,63084,56213,53698,50469,48797,65637,42797,37694,33993,30872,26735,22948,,,,,,,,,,,,,,,,,,,,,,,,,,
沈阳,,87696,82067,74181,67444,61827,56590,52389,49898,45756,41900,38577,33546,27372,23391,,,,,,,,,,,,,,,,,,,,,,,,,,
大连,,95442,87592,81884,73764,69390,63609,58946,54821,49728,44615,38765,34304,28271,24227,,,,,,,,,,,,,,,,,,,,,,,,,,
长春,,88082,80425,73469,68434,62519,56977,52220,46673,41471,35721,30448,26968,24189,19954,,,,,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,,82385,71771,67542,62583,58405,51554,47150,41773,36450,32411,29251,25526,22104,18780,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,,151772,142983,130765,120503,109279,100623,91477,80191,77031,71874,63549,56565,49310,41188,34345,30085,27304,23959,21781,18531,16641,13580,,,,,,,,,,,,,,,,,,
南京,,129605,111071,101502,90191,81075,77286,66222,63152,54712,48782,43623,39878,35907,32459,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州,,120308,106709,96670,87153,77816,70823,64958,56418,54408,48772,43947,40193,36497,32792,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波,,110878,102325,91705,83656,74989,70228,63362,56255,49756,43476,39138,35835,32924,28949,,,,,,,,,,,,,,,,,,,,,,,,,,
合肥,,95156,89022,77484,71054,65806,59648,54177,50724,45442,39291,34144,30401,25874,21907,,,,,,,,,,,,,,,,,,,,,,,,,,
福州,,88952,83175,75133,67630,62478,58838,53420,48088,42240,34805,30704,27521,23950,20665,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门,,97779,85166,75452,69218,66930,63062,61754,52673,46414,40283,36455,32344,28959,25543,,,,,,,,,,,,,,,,,,,,,,,,,,
南昌,,88470,82672,72686,65812,57730,51848,46892,43769,39816,35038,30450,26961,23887,20286,,,,,,,,,,,,,,,,,,,,,,,,,,
济南,,100593,91651,84645,77012,68997,62323,55840,48829,44004,37854,35661,31600,26654,22306,,,,,,,,,,,,,,,,,,,,,,,,,,
青岛,,103125,90840,83539,76616,69465,62097,55334,49052,43162,37804,33257,30235,27084,23458,,,,,,,,,,,,,,,,,,,,,,,,,,
郑州,,88030,80963,70486,61149,52987,49756,45066,40472,35756,32778,29837,26478,22156,18862,,,,,,,,,,,,,,,,,,,,,,,,,,
武汉,,98043,88327,79684,71963,65720,60624,53684,48942,45644,39302,,28431,25136,20633,,,,,,,,,,,,,,,,,,,,,,,,,,
长沙,,98459,93293,85187,77782,67266,61847,56215,50905,44495,38338,34888,31834,27967,24617,,,,,,,,,,,,,,,,,,,,,,,,,,
广州,,123498,111839,98612,89096,81171,74246,73678,67515,57474,54494,49518,45702,40561,36770,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳,,127757,111709,100173,89757,81034,73492,77721,59010,55142,50455,46715,43731,38797,35108,,,,,,,,,,,,,,,,,,,,,,,,,,
南宁,,90986,83452,75481,68560,66749,54330,49806,44144,40119,37040,32596,29376,24791,20652,,,,,,,,,,,,,,,,,,,,,,,,,,
海口,,85121,77632,68037,62030,57455,50653,45058,40486,38060,34192,30639,27328,25723,21385,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,,89714,81764,73272,67386,62091,56852,51015,45392,40042,35326,30965,26985,23098,19215,16630,14357,12425,10960,9523,8020,7182,6433,,,,,,,,,,,,,,,,,,
成都,,97519,88011,79292,74408,69123,63201,56581,48302,42363,38603,34195,30810,26607,22563,,,,,,,,,,,,,,,,,,,,,,,,,,
贵阳,,92650,82685,73939,70535,63949,59330,50654,42662,38673,31129,27579,26386,22579,18522,,,,,,,,,,,,,,,,,,,,,,,,,,
昆明,,94063,80253,76350,68375,62033,58153,51119,45094,41645,32022,29889,22432,22432,20812,,,,,,,,,,,,,,,,,,,,,,,,,,
拉萨,,127057,126936,111092,111009,114582,72468,69403,65150,55740,,46678,46972,46954,,,,,,,,,,,,,,,,,,,,,,,,,,,
西安,,96867,87125,77774,69611,63193,54098,54388,46688,41679,37872,,29749,25014,20476,,,,,,,,,,,,,,,,,,,,,,,,,,
兰州,,88393,85575,75709,67011,62201,54008,49424,44488,38968,33964,28996,26120,21019,19103,,,,,,,,,,,,,,,,,,,,,,,,,,
西宁,,91494,84071,73540,61069,58099,54914,47343,44086,38443,32220,28124,26462,23333,21029,,,,,,,,,,,,,,,,,,,,,,,,,,
银川,,94559,87291,77206,70840,65643,59080,56565,54274,49938,39816,,33249,28604,23227,,,,,,,,,,,,,,,,,,,,,,,,,,
乌鲁木齐,,90729,85990,78072,73254,67617,61617,56680,51135,47178,40649,36500,33341,29110,23677,,,,,,,,,,,,,,,,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
